index,Cattle_ID,Breed,Country,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Date,Farm_ID,Milk_Yield_L
199,CATTLE_000200,Girolando,BR,Subtropical,Semi_Intensive,33,255.6,1,Late,145,Concentrates,15.2,2,high,medium,5.6,7.6,7.2,11.5,80.4,Monsoon,0.76,yes,yes,7.03,ok,12,2023-08-23,FARM_0949,9.57
213,CATTLE_000214,Girolando,BR,Subtropical,Semi_Intensive,24,403.6,2,Mid,291,Crop_Residues,9.2,4,medium,low,6.9,5.1,6.0,38.2,52.6,Autumn,0.38,yes,no,13.27,low,8,2024-05-03,FARM_0087,12.57
235,CATTLE_000236,Jersey,BR,Tropical,Semi_Intensive,59,660.2,1,Mid,351,Mixed_Feed,9.9,5,medium,low,2.4,8.2,5.4,14.2,73.0,Summer,0.65,yes,yes,2.07,ok,12,2024-08-17,FARM_0855,6.73
277,CATTLE_000278,Jersey,BR,Subtropical,Extensive,107,365.9,4,Early,277,Hay,13.9,4,high,medium,4.1,7.1,8.5,37.8,39.8,Winter,0.49,yes,yes,6.81,high,24,2023-12-30,FARM_0841,7.12
299,CATTLE_000300,Jersey,BR,Tropical,Semi_Intensive,118,699.8,4,Mid,306,Green_Fodder,13.0,5,high,medium,5.2,7.3,14.2,15.3,75.1,Summer,0.63,no,no,8.92,ok,12,2023-05-14,FARM_0297,10.2
306,CATTLE_000307,Holandes,BR,Arid,Extensive,44,264.8,6,Mid,344,Mixed_Feed,3.9,3,medium,medium,3.9,10.2,7.7,31.9,70.0,Summer,0.95,no,yes,1.07,ok,12,2023-06-03,FARM_0835,1.92
366,CATTLE_000367,Holandes,BR,Arid,Extensive,51,413.3,1,Mid,98,Crop_Residues,13.0,1,medium,medium,9.4,6.6,7.3,23.9,42.1,Autumn,0.65,no,yes,5.56,high,12,2023-09-06,FARM_0090,5.04
393,CATTLE_000394,Girolando,BR,Temperado,Semi_Intensive,51,598.5,5,Late,203,Dry_Fodder,16.2,3,high,high,6.2,7.0,7.6,30.9,54.7,Summer,0.85,no,yes,0.37,high,12,2022-10-06,FARM_0213,3.15
432,CATTLE_000433,Holandes,BR,Tropical,Pastoral,69,595.3,6,Mid,76,Pasture_Grass,13.7,2,high,high,2.6,8.0,8.9,17.5,55.6,Spring,0.75,no,no,7.14,ok,12,2023-12-29,FARM_0619,7.39
438,CATTLE_000439,Holandes,BR,Tropical,Semi_Intensive,108,486.5,4,Early,127,Crop_Residues,5.2,5,medium,high,3.7,7.7,10.9,29.7,65.8,Spring,0.67,yes,yes,16.5,low,8,2022-05-26,FARM_0734,14.74
505,CATTLE_000506,Jersey,BR,Arid,Pastoral,68,650.1,1,Mid,266,Green_Fodder,9.2,4,high,high,1.8,9.0,5.0,14.2,70.4,Monsoon,0.51,yes,yes,3.87,ok,12,2023-01-09,FARM_0279,5.45
536,CATTLE_000537,Holandes,BR,Temperado,Mixed,134,602.0,4,Late,104,Concentrates,13.4,2,medium,medium,6.1,9.4,13.9,19.1,10.0,Monsoon,0.59,no,no,5.42,ok,12,2023-06-04,FARM_0367,4.76
553,CATTLE_000554,Holandes,BR,Temperado,Extensive,136,556.3,5,Early,158,Concentrates,14.7,3,low,high,2.7,9.4,9.2,7.7,52.2,Monsoon,0.57,yes,no,9.65,ok,12,2022-12-19,FARM_0942,6.25
628,CATTLE_000629,Jersey,BR,Temperado,Pastoral,52,649.9,4,Mid,79,Dry_Fodder,10.3,5,high,low,7.6,8.5,15.6,16.4,67.3,Spring,0.65,yes,yes,3.82,low,24,2022-02-02,FARM_0357,3.17
632,CATTLE_000633,Jersey,BR,Temperado,Extensive,25,476.0,3,Mid,109,Green_Fodder,10.2,5,low,high,5.3,8.8,8.7,-8.2,75.6,Winter,0.37,yes,yes,6.5,ok,8,2023-08-19,FARM_0570,6.2
635,CATTLE_000636,Holandes,BR,Arid,Mixed,39,536.6,1,Mid,148,Silage,7.9,5,medium,high,4.9,8.4,7.8,29.9,51.1,Winter,0.53,yes,yes,0.01,high,12,2023-11-04,FARM_0249,0.0
650,CATTLE_000651,Girolando,BR,Tropical,Mixed,43,431.4,3,Early,169,Crop_Residues,14.8,1,medium,medium,3.0,11.5,7.7,40.7,78.8,Monsoon,0.8,yes,no,21.95,ok,6,2024-01-04,FARM_0081,22.13
652,CATTLE_000653,Jersey,BR,Arid,Semi_Intensive,120,254.6,6,Mid,135,Crop_Residues,15.0,4,medium,high,7.2,7.4,8.2,21.9,74.3,Spring,0.87,yes,yes,2.08,high,12,2023-11-21,FARM_0127,3.08
660,CATTLE_000661,Girolando,BR,Subtropical,Semi_Intensive,46,296.8,6,Early,54,Silage,13.1,4,high,high,8.1,7.6,8.0,21.4,42.4,Winter,0.35,no,no,23.04,ok,12,2023-06-14,FARM_0491,20.46
726,CATTLE_000727,Girolando,BR,Arid,Intensive,82,646.7,2,Mid,216,Crop_Residues,12.0,1,high,high,5.3,8.6,8.2,25.0,65.6,Summer,1.0,yes,yes,17.82,low,12,2023-05-07,FARM_0555,16.26
732,CATTLE_000733,Jersey,BR,Tropical,Extensive,85,518.4,5,Mid,73,Pasture_Grass,11.9,4,medium,low,7.4,7.2,6.5,43.8,82.2,Autumn,0.55,yes,no,13.01,high,12,2024-04-20,FARM_0306,12.92
733,CATTLE_000734,Holandes,BR,Subtropical,Semi_Intensive,132,564.8,5,Mid,12,Hay,9.1,4,high,medium,5.6,5.1,15.2,17.4,68.1,Monsoon,0.72,yes,no,8.67,ok,12,2023-10-25,FARM_0874,8.71
736,CATTLE_000737,Holandes,BR,Subtropical,Extensive,56,282.3,2,Mid,202,Mixed_Feed,8.1,2,high,medium,2.4,10.2,8.2,13.5,43.0,Spring,0.84,yes,no,7.5,ok,12,2022-02-05,FARM_0501,6.25
772,CATTLE_000773,Girolando,BR,Temperado,Pastoral,51,386.0,3,Mid,271,Hay,12.8,4,medium,high,4.7,5.5,7.0,29.1,52.0,Summer,0.98,no,yes,6.51,high,12,2022-05-08,FARM_0950,8.49
773,CATTLE_000774,Jersey,BR,Arid,Mixed,67,311.8,5,Early,11,Concentrates,12.2,2,medium,high,5.0,6.5,10.3,5.7,35.9,Autumn,0.95,no,yes,0.0,ok,12,2022-01-25,FARM_0490,0.0
787,CATTLE_000788,Girolando,BR,Subtropical,Intensive,53,308.6,5,Early,271,Dry_Fodder,19.3,4,medium,low,3.8,7.1,14.9,6.8,100.0,Winter,0.89,yes,yes,9.12,ok,12,2022-05-09,FARM_0718,10.3
818,CATTLE_000819,Holandes,BR,Subtropical,Mixed,137,274.6,2,Mid,87,Concentrates,13.8,2,high,low,4.1,4.0,13.6,37.8,27.0,Spring,0.76,yes,no,12.79,low,12,2023-03-07,FARM_0153,11.77
851,CATTLE_000852,Holandes,BR,Subtropical,Semi_Intensive,104,654.4,6,Late,343,Green_Fodder,8.6,4,high,medium,7.6,8.5,11.0,27.5,37.9,Summer,0.68,yes,yes,5.99,high,12,2023-03-18,FARM_0411,6.29
854,CATTLE_000855,Girolando,BR,Tropical,Pastoral,95,598.5,1,Late,84,Crop_Residues,17.3,4,high,medium,5.1,6.3,8.9,14.3,62.1,Winter,0.84,yes,no,20.74,ok,12,2023-09-03,FARM_0245,20.44
872,CATTLE_000873,Jersey,BR,Temperado,Intensive,60,724.1,6,Late,320,Green_Fodder,12.7,3,medium,medium,3.4,11.3,12.0,33.3,75.5,Autumn,0.33,no,no,8.61,high,8,2024-04-15,FARM_0958,7.74
875,CATTLE_000876,Jersey,BR,Arid,Semi_Intensive,48,485.9,5,Early,230,Silage,12.9,3,high,medium,5.3,9.2,11.2,11.2,62.1,Winter,0.91,yes,yes,8.73,ok,12,2024-05-24,FARM_0955,6.9
885,CATTLE_000886,Jersey,BR,Arid,Semi_Intensive,26,494.6,4,Mid,118,Dry_Fodder,9.9,1,high,low,4.4,7.3,10.0,19.0,61.3,Monsoon,0.74,yes,yes,9.19,ok,12,2024-11-09,FARM_0995,9.44
899,CATTLE_000900,Holandes,BR,Arid,Extensive,44,498.7,2,Early,44,Crop_Residues,14.3,1,high,high,9.9,4.0,10.0,28.4,68.4,Spring,0.99,yes,yes,6.29,ok,12,2023-07-28,FARM_0710,4.97
920,CATTLE_000921,Girolando,BR,Arid,Intensive,72,550.6,5,Mid,357,Crop_Residues,9.1,5,high,low,6.6,8.3,5.5,41.6,35.2,Spring,0.5,no,yes,15.13,low,24,2023-07-12,FARM_0734,17.02
933,CATTLE_000934,Girolando,BR,Subtropical,Intensive,58,708.3,1,Early,288,Green_Fodder,15.7,4,high,medium,7.9,8.3,8.8,33.4,63.3,Monsoon,0.33,no,no,18.1,ok,12,2024-03-02,FARM_0701,20.45
990,CATTLE_000991,Holandes,BR,Tropical,Pastoral,57,314.7,5,Early,18,Green_Fodder,10.1,1,high,medium,11.3,8.5,10.1,23.5,57.0,Summer,0.37,no,no,2.8,ok,12,2023-03-06,FARM_0924,3.47
992,CATTLE_000993,Jersey,BR,Tropical,Intensive,32,253.2,1,Late,195,Concentrates,8.2,5,medium,medium,10.2,7.1,11.0,14.8,35.5,Winter,0.63,yes,yes,3.83,low,12,2022-12-21,FARM_0904,4.22
1005,CATTLE_001006,Jersey,BR,Temperado,Pastoral,50,441.2,1,Early,357,Hay,13.8,1,high,high,5.0,9.6,10.3,22.1,33.7,Autumn,0.74,no,yes,11.37,low,8,2022-02-06,FARM_0182,13.71
1009,CATTLE_001010,Girolando,BR,Tropical,Extensive,51,690.3,4,Late,194,Pasture_Grass,13.2,2,medium,high,4.9,12.0,8.5,2.5,27.8,Summer,0.43,no,no,3.33,high,12,2024-05-23,FARM_0596,2.84
1016,CATTLE_001017,Girolando,BR,Subtropical,Semi_Intensive,65,711.3,3,Mid,319,Crop_Residues,11.1,2,high,medium,7.3,8.3,5.0,30.0,74.0,Monsoon,0.33,no,yes,6.97,high,8,2022-08-26,FARM_0350,5.67
1024,CATTLE_001025,Jersey,BR,Tropical,Intensive,101,378.7,3,Late,40,Concentrates,9.1,3,high,high,7.7,4.4,5.0,3.6,36.0,Spring,0.92,no,yes,5.9,ok,24,2024-07-25,FARM_0397,5.83
1036,CATTLE_001037,Girolando,BR,Tropical,Extensive,44,520.1,4,Late,38,Hay,4.5,2,medium,medium,7.4,8.2,10.6,30.2,57.1,Monsoon,0.73,no,yes,7.75,low,24,2024-04-05,FARM_0442,6.51
1048,CATTLE_001049,Jersey,BR,Arid,Mixed,68,401.8,5,Mid,63,Silage,13.6,1,medium,high,5.4,9.3,7.1,25.9,65.1,Spring,0.56,yes,no,11.82,high,8,2024-12-18,FARM_0679,10.67
1067,CATTLE_001068,Holandes,BR,Subtropical,Intensive,58,359.7,5,Early,204,Crop_Residues,6.8,1,high,medium,5.0,9.7,9.5,14.5,42.9,Autumn,0.6,no,no,4.25,ok,12,2022-04-04,FARM_0991,4.66
1097,CATTLE_001098,Girolando,BR,Tropical,Semi_Intensive,100,566.7,2,Mid,9,Mixed_Feed,22.7,1,medium,high,4.1,10.2,11.0,21.9,21.9,Winter,0.74,yes,no,10.83,ok,12,2023-10-21,FARM_0966,9.36
1152,CATTLE_001153,Girolando,BR,Arid,Mixed,92,697.0,2,Early,142,Mixed_Feed,17.1,5,medium,low,5.6,5.8,10.6,20.8,67.7,Summer,0.59,yes,yes,20.63,low,12,2023-04-23,FARM_0396,20.29
1157,CATTLE_001158,Jersey,BR,Subtropical,Mixed,50,325.0,5,Mid,270,Silage,6.0,5,high,low,5.9,5.4,5.0,22.6,45.5,Monsoon,0.98,no,no,1.33,low,12,2023-12-01,FARM_0097,2.42
1194,CATTLE_001195,Jersey,BR,Temperado,Pastoral,31,440.8,4,Mid,304,Mixed_Feed,6.2,1,medium,low,1.0,8.0,6.0,5.3,53.7,Winter,0.82,no,no,7.52,ok,8,2022-12-08,FARM_0456,10.95
1212,CATTLE_001213,Holandes,BR,Arid,Pastoral,110,261.9,2,Mid,305,Crop_Residues,5.2,1,medium,high,5.4,8.2,14.3,9.7,58.5,Winter,0.84,yes,no,1.6,high,12,2024-06-17,FARM_0080,2.08
1232,CATTLE_001233,Holandes,BR,Tropical,Semi_Intensive,58,296.3,6,Mid,206,Mixed_Feed,12.8,2,high,medium,3.7,7.4,11.3,4.4,73.6,Spring,0.49,yes,yes,9.8,high,12,2024-06-22,FARM_0316,10.1
1270,CATTLE_001271,Holandes,BR,Subtropical,Pastoral,104,441.9,3,Early,257,Mixed_Feed,10.5,2,high,medium,7.6,8.9,14.1,27.4,40.7,Winter,0.69,yes,no,4.12,high,8,2024-05-12,FARM_0146,6.45
1276,CATTLE_001277,Holandes,BR,Arid,Pastoral,129,283.7,5,Early,335,Concentrates,11.8,2,medium,high,7.6,7.2,9.4,37.6,18.9,Summer,0.55,yes,yes,13.08,ok,24,2022-09-18,FARM_0510,10.32
1280,CATTLE_001281,Holandes,BR,Temperado,Semi_Intensive,64,563.6,6,Late,18,Green_Fodder,14.1,4,high,high,8.7,7.0,9.9,20.4,92.4,Winter,0.42,no,no,6.86,low,12,2023-09-07,FARM_0275,4.8
1282,CATTLE_001283,Girolando,BR,Subtropical,Mixed,86,563.4,2,Mid,209,Crop_Residues,17.1,1,high,high,2.7,9.3,12.5,4.9,29.9,Winter,0.71,yes,no,7.93,high,12,2024-06-23,FARM_0014,8.33
1327,CATTLE_001328,Jersey,BR,Temperado,Semi_Intensive,74,668.4,5,Mid,266,Pasture_Grass,9.1,4,medium,medium,7.6,8.0,15.4,23.4,28.6,Summer,0.38,yes,yes,0.65,ok,12,2023-01-02,FARM_0362,2.27
1338,CATTLE_001339,Girolando,BR,Subtropical,Mixed,58,490.7,2,Late,216,Dry_Fodder,5.0,3,medium,low,13.2,11.9,11.1,9.4,64.5,Summer,0.57,no,yes,4.97,high,12,2024-06-23,FARM_0614,6.4
1339,CATTLE_001340,Girolando,BR,Temperado,Intensive,88,668.5,2,Mid,293,Green_Fodder,15.0,4,medium,low,3.4,11.0,10.2,3.9,78.6,Spring,0.66,no,yes,3.1,ok,8,2024-12-07,FARM_0005,2.69
1353,CATTLE_001354,Girolando,BR,Subtropical,Mixed,58,468.2,4,Mid,127,Mixed_Feed,14.7,1,medium,medium,2.7,5.7,11.9,7.6,38.6,Summer,0.33,yes,yes,10.16,high,12,2024-04-27,FARM_0795,7.81
1363,CATTLE_001364,Holandes,BR,Tropical,Extensive,40,445.0,5,Early,200,Dry_Fodder,13.4,2,medium,high,11.4,6.6,6.9,40.3,14.8,Autumn,0.68,no,no,20.7,ok,8,2022-04-12,FARM_0113,20.62
1371,CATTLE_001372,Girolando,BR,Temperado,Intensive,62,495.5,4,Mid,128,Concentrates,11.2,5,high,medium,9.1,6.1,5.0,8.7,68.2,Autumn,0.38,no,yes,7.4,ok,12,2023-06-27,FARM_0304,7.0
1378,CATTLE_001379,Holandes,BR,Tropical,Pastoral,100,257.1,2,Early,209,Concentrates,12.5,3,high,medium,6.2,9.0,9.2,45.0,90.1,Winter,0.5,yes,yes,3.49,low,8,2022-05-19,FARM_0123,2.95
1397,CATTLE_001398,Jersey,BR,Tropical,Mixed,33,740.0,1,Mid,169,Silage,12.7,5,medium,medium,4.2,7.4,18.0,30.0,77.8,Autumn,0.94,yes,yes,10.76,ok,12,2024-04-30,FARM_0050,11.33
1398,CATTLE_001399,Holandes,BR,Temperado,Semi_Intensive,141,275.1,3,Mid,271,Concentrates,12.7,4,low,high,5.6,11.2,12.8,1.1,49.4,Spring,0.39,no,yes,3.49,ok,12,2024-06-12,FARM_0001,5.25
1422,CATTLE_001423,Holandes,BR,Subtropical,Pastoral,75,745.1,4,Early,167,Mixed_Feed,19.6,5,medium,high,6.3,8.1,5.0,36.8,48.0,Monsoon,0.32,no,yes,0.86,high,12,2023-03-07,FARM_0913,3.35
1426,CATTLE_001427,Jersey,BR,Temperado,Pastoral,132,721.2,4,Late,228,Silage,11.7,3,medium,medium,5.6,6.5,10.1,10.8,51.6,Autumn,0.71,yes,yes,14.55,high,12,2024-11-12,FARM_0478,14.63
1443,CATTLE_001444,Girolando,BR,Arid,Extensive,34,276.2,4,Late,309,Silage,14.7,2,high,high,10.2,8.7,10.4,36.9,65.5,Autumn,0.33,no,yes,5.47,high,12,2023-08-21,FARM_0684,7.37
1448,CATTLE_001449,Girolando,BR,Temperado,Extensive,27,259.5,3,Mid,335,Hay,8.4,1,high,high,6.8,4.9,9.2,22.5,42.9,Spring,0.94,no,yes,1.84,ok,12,2022-11-14,FARM_0305,2.67
1463,CATTLE_001464,Jersey,BR,Subtropical,Extensive,31,308.7,2,Mid,336,Mixed_Feed,17.3,4,medium,medium,7.4,9.6,8.2,18.5,70.4,Autumn,0.84,yes,yes,5.78,ok,12,2024-05-01,FARM_0359,5.08
1472,CATTLE_001473,Girolando,BR,Tropical,Semi_Intensive,83,731.2,3,Early,167,Pasture_Grass,7.8,5,high,high,7.8,10.4,14.9,25.0,42.2,Summer,0.74,yes,yes,11.58,ok,12,2023-05-02,FARM_0545,11.77
1479,CATTLE_001480,Holandes,BR,Arid,Semi_Intensive,29,341.8,2,Mid,24,Crop_Residues,10.8,1,medium,high,7.7,7.7,12.1,24.7,59.7,Monsoon,0.94,no,yes,7.55,ok,24,2024-07-25,FARM_0652,5.22
1482,CATTLE_001483,Girolando,BR,Temperado,Pastoral,34,489.6,2,Late,355,Green_Fodder,9.0,3,medium,high,1.0,8.2,8.9,8.9,71.7,Summer,0.55,yes,no,8.9,ok,8,2024-08-03,FARM_0457,11.46
1486,CATTLE_001487,Holandes,BR,Temperado,Pastoral,46,466.3,1,Early,75,Pasture_Grass,10.9,1,low,medium,4.0,8.7,10.5,39.7,71.6,Spring,0.38,no,no,15.27,high,12,2023-02-28,FARM_0614,15.08
1490,CATTLE_001491,Holandes,BR,Subtropical,Semi_Intensive,52,624.4,4,Late,143,Pasture_Grass,9.7,1,high,medium,13.8,6.3,5.0,20.9,48.6,Monsoon,0.63,no,yes,5.84,ok,12,2023-01-20,FARM_0657,4.46
1529,CATTLE_001530,Jersey,BR,Temperado,Semi_Intensive,30,715.1,1,Late,263,Hay,10.1,5,medium,high,8.2,9.6,8.9,9.9,45.0,Winter,0.89,yes,no,5.06,ok,12,2024-06-30,FARM_0404,5.85
1534,CATTLE_001535,Jersey,BR,Tropical,Extensive,140,527.0,5,Early,152,Hay,13.8,4,low,high,5.9,5.0,14.8,22.5,87.3,Monsoon,0.6,no,yes,8.59,high,24,2022-05-02,FARM_0213,6.35
1572,CATTLE_001573,Girolando,BR,Tropical,Extensive,86,279.3,4,Mid,3,Silage,10.9,5,high,medium,5.3,9.0,8.5,22.4,78.6,Autumn,0.94,yes,no,7.14,low,12,2022-10-01,FARM_0637,7.5
1578,CATTLE_001579,Girolando,BR,Tropical,Intensive,70,339.8,1,Early,247,Concentrates,8.8,4,medium,medium,7.2,9.0,5.0,34.7,49.3,Monsoon,0.48,yes,yes,16.9,high,12,2022-07-31,FARM_0418,15.01
1595,CATTLE_001596,Holandes,BR,Arid,Semi_Intensive,45,308.6,6,Early,310,Crop_Residues,15.4,4,low,medium,5.3,4.0,11.6,24.8,71.0,Spring,0.71,yes,yes,10.24,ok,8,2023-03-04,FARM_0366,11.69
1608,CATTLE_001609,Girolando,BR,Tropical,Mixed,61,632.9,2,Mid,117,Mixed_Feed,7.6,1,high,medium,5.4,8.8,12.7,-4.7,80.9,Summer,0.35,no,no,9.3,ok,12,2022-02-09,FARM_0743,8.21
1623,CATTLE_001624,Holandes,BR,Tropical,Mixed,135,493.3,4,Early,177,Concentrates,9.5,2,high,medium,4.0,9.4,12.2,18.8,44.8,Winter,0.84,no,yes,7.0,ok,12,2024-01-24,FARM_0488,7.72
1658,CATTLE_001659,Girolando,BR,Temperado,Mixed,113,519.6,1,Mid,32,Silage,3.0,3,medium,high,8.7,7.2,5.4,11.8,58.3,Autumn,0.66,yes,yes,12.94,high,12,2023-03-02,FARM_0430,10.16
1659,CATTLE_001660,Girolando,BR,Arid,Extensive,126,682.2,3,Early,312,Mixed_Feed,4.8,5,medium,medium,6.5,9.5,10.9,37.1,54.2,Autumn,0.67,yes,no,5.42,high,12,2024-11-10,FARM_0161,5.82
1663,CATTLE_001664,Jersey,BR,Subtropical,Extensive,51,559.0,3,Late,16,Concentrates,9.9,5,high,low,1.0,9.7,11.2,-3.7,43.0,Monsoon,0.32,no,yes,10.04,ok,6,2024-02-24,FARM_0369,10.48
1669,CATTLE_001670,Girolando,BR,Arid,Mixed,92,253.8,3,Early,294,Dry_Fodder,8.2,3,high,high,4.5,5.1,9.6,5.5,82.1,Winter,0.47,no,yes,0.0,ok,8,2023-10-27,FARM_0500,0.0
1689,CATTLE_001690,Jersey,BR,Arid,Mixed,29,345.3,1,Mid,126,Hay,11.4,2,medium,high,1.3,5.3,10.5,20.9,100.0,Monsoon,0.32,no,yes,5.78,ok,8,2022-05-31,FARM_0527,7.09
1720,CATTLE_001721,Girolando,BR,Tropical,Intensive,64,639.6,4,Early,258,Green_Fodder,12.6,3,high,high,3.2,7.9,5.9,23.1,87.3,Monsoon,0.45,no,yes,16.2,ok,12,2022-06-25,FARM_0056,16.76
1768,CATTLE_001769,Jersey,BR,Arid,Extensive,40,607.0,1,Early,157,Crop_Residues,9.5,5,high,low,3.0,9.7,5.0,10.1,46.7,Autumn,0.66,yes,no,2.42,ok,12,2022-08-21,FARM_0559,1.38
1816,CATTLE_001817,Jersey,BR,Temperado,Semi_Intensive,119,617.2,3,Late,309,Hay,10.7,1,low,low,6.9,9.5,9.1,19.7,57.3,Summer,0.8,yes,no,0.39,ok,12,2023-05-24,FARM_0158,0.0
1832,CATTLE_001833,Jersey,BR,Temperado,Pastoral,75,640.9,5,Mid,38,Green_Fodder,7.0,3,medium,medium,7.1,7.0,7.8,12.6,54.3,Winter,0.33,no,yes,4.09,ok,12,2022-08-14,FARM_0901,4.3
1833,CATTLE_001834,Jersey,BR,Subtropical,Extensive,48,552.0,2,Late,303,Pasture_Grass,9.8,5,high,low,12.8,9.6,13.6,16.6,84.4,Winter,0.91,no,yes,4.16,ok,12,2024-09-20,FARM_0203,4.64
1835,CATTLE_001836,Girolando,BR,Temperado,Semi_Intensive,36,396.5,4,Mid,220,Dry_Fodder,6.2,2,high,high,6.9,6.9,13.0,-9.0,64.0,Winter,0.87,yes,no,6.89,ok,12,2023-08-15,FARM_0466,3.51
1854,CATTLE_001855,Girolando,BR,Subtropical,Semi_Intensive,139,352.3,2,Early,225,Crop_Residues,12.0,3,high,high,7.9,7.7,18.0,16.4,31.9,Monsoon,0.88,yes,yes,18.13,ok,8,2024-06-12,FARM_0761,17.23
1869,CATTLE_001870,Jersey,BR,Temperado,Extensive,135,595.4,2,Mid,41,Concentrates,16.7,4,high,high,1.9,9.5,10.1,27.2,40.8,Winter,0.91,yes,yes,20.15,high,8,2023-08-03,FARM_0576,21.08
1906,CATTLE_001907,Jersey,BR,Temperado,Intensive,59,263.8,4,Mid,304,Pasture_Grass,13.7,4,high,low,5.2,9.5,6.9,29.1,81.0,Summer,0.96,yes,yes,4.58,ok,6,2022-01-28,FARM_0974,5.08
1919,CATTLE_001920,Jersey,BR,Temperado,Mixed,117,554.4,6,Mid,250,Hay,14.7,2,medium,low,11.0,6.6,5.0,41.1,31.4,Autumn,0.68,no,yes,0.26,low,12,2022-09-22,FARM_0833,0.14
1930,CATTLE_001931,Girolando,BR,Arid,Mixed,133,402.7,2,Mid,70,Hay,11.8,1,high,low,7.5,6.1,9.4,10.2,88.3,Summer,0.89,yes,yes,17.08,ok,8,2022-02-10,FARM_0496,18.58
1935,CATTLE_001936,Jersey,BR,Tropical,Semi_Intensive,24,483.3,3,Early,363,Green_Fodder,9.5,4,high,high,5.5,8.3,9.5,26.4,91.9,Spring,0.39,yes,yes,3.69,ok,12,2022-06-30,FARM_0056,4.41
